Patch-engine verdicts, RE-CERTIFIED with the fixed engine (code/swap_patch_search.py), 2026-08-15

SOUNDNESS NOTE.  The pre-fix engine treated the straight-gap
(exact-pi) filler list as exhaustive although its flat tiles were
anchored to already-placed points only; kills reached through such
a branch were not sound.  The engine now enumerates flats
exhaustively whenever the line's contact origin is pinned (the
line leaves the region there, or runs into a placed tile's
(8,9) M=3: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN  r5:OPEN  r6:OPEN
(8,9) M=4: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN  r5:OPEN
(8,9) M=5: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN
(8,9) M=6: open:SURVIVES  r2:KILLED  r3:OPEN
(8,9) M=7: open:SURVIVES  r2:KILLED


== chord=swap ==
(3,5) M=3: open:KILLED  r2:KILLED   [all k by open]
(4,5) M=3: open:KILLED  r2:KILLED   [all k by open]
(5,6) M=3: open:KILLED  r2:KILLED  r3:KILLED   [all k by open]
(5,6) M=4: open:KILLED  r2:KILLED   [all k by open]
(2,7) M=5: open:KILLED  r2:KILLED   [all k by open]
(3,7) M=4: open:KILLED  r2:KILLED  r3:KILLED   [all k by open]
(3,7) M=5: open:SURVIVES  r2:KILLED
(4,7) M=3: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED   [all k by open]
(4,7) M=4: open:OPEN  r2:KILLED  r3:KILLED
(4,7) M=5: open:SURVIVES  r2:KILLED
(5,7) M=3: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED   [all k by open]
(5,7) M=4: open:OPEN  r2:KILLED  r3:KILLED
(5,7) M=5: open:OPEN  r2:KILLED
(6,7) M=3: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED   [all k by open]
(6,7) M=4: open:KILLED  r2:KILLED  r3:KILLED   [all k by open]
(6,7) M=5: open:SURVIVES  r2:KILLED
(3,8) M=4: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED   [all k by open]
(3,8) M=5: open:OPEN  r2:KILLED  r3:KILLED
(3,8) M=6: open:SURVIVES  r2:KILLED
(5,8) M=3: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED  r5:KILLED   [all k by open]
(5,8) M=4: open:OPEN  r2:KILLED  r3:KILLED  r4:OPEN
(5,8) M=5: open:SURVIVES  r2:KILLED  r3:KILLED
(5,8) M=6: open:SURVIVES  r2:KILLED
(7,8) M=3: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED  r5:KILLED   [all k by open]
(7,8) M=4: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED   [all k by open]
(7,8) M=5: open:KILLED  r2:KILLED  r3:KILLED   [all k by open]
(7,8) M=6: open:SURVIVES  r2:KILLED
(2,9) M=6: open:KILLED  r2:KILLED  r3:KILLED   [all k by open]
(2,9) M=7: open:OPEN  r2:KILLED
(4,9) M=4: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED  r5:KILLED   [all k by open]
(4,9) M=5: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN
(4,9) M=6: open:SURVIVES  r2:OPEN  r3:OPEN
(4,9) M=7: open:SURVIVES  r2:OPEN
(5,9) M=3: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED  r5:KILLED  r6:KILLED   [all k by open]
(5,9) M=4: open:OPEN  r2:KILLED  r3:KILLED  r4:OPEN  r5:OPEN
(5,9) M=5: open:SURVIVES  r2:KILLED  r3:KILLED  r4:OPEN
(5,9) M=6: open:SURVIVES  r2:KILLED  r3:KILLED
(5,9) M=7: open:SURVIVES  r2:KILLED
(7,9) M=3: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED  r5:KILLED  r6:KILLED   [all k by open]
(7,9) M=4: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED  r5:KILLED   [all k by open]
(7,9) M=5: open:SURVIVES  r2:KILLED  r3:KILLED  r4:OPEN
(7,9) M=6: open:SURVIVES  r2:KILLED  r3:KILLED
(7,9) M=7: open:SURVIVES  r2:KILLED
(8,9) M=3: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED  r5:KILLED  r6:KILLED   [all k by open]
(8,9) M=4: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED  r5:KILLED   [all k by open]
(8,9) M=5: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED   [all k by open]
(8,9) M=6: open:SURVIVES  r2:KILLED  r3:KILLED
(8,9) M=7: open:SURVIVES  r2:KILLED

== f = 10..12, free chord, fixed engine (open / r2 / r3) ==
(3,10) M=5: open:KILLED  r2:KILLED  r3:KILLED
(3,10) M=6: open:OPEN  r2:KILLED  r3:OPEN
(3,10) M=7: open:OPEN  r2:KILLED  r3:SURVIVES
(3,10) M=8: open:OPEN  r2:KILLED
(7,10) M=3: open:SURVIVES  r2:KILLED  r3:OPEN
(7,10) M=4: open:SURVIVES  r2:KILLED  r3:OPEN
(7,10) M=5: open:OPEN  r2:KILLED  r3:OPEN
(7,10) M=6: open:OPEN  r2:KILLED  r3:OPEN
(7,10) M=7: open:OPEN  r2:KILLED  r3:OPEN
(7,10) M=8: open:OPEN  r2:KILLED
(9,10) M=3: open:SURVIVES  r2:KILLED  r3:OPEN
(9,10) M=4: open:SURVIVES  r2:KILLED  r3:OPEN
(9,10) M=5: open:SURVIVES  r2:KILLED  r3:OPEN
(9,10) M=6: open:SURVIVES  r2:KILLED  r3:OPEN
(9,10) M=7: open:SURVIVES  r2:KILLED  r3:OPEN
(9,10) M=8: open:SURVIVES  r2:KILLED
(2,11) M=7: open:OPEN  r2:KILLED  r3:OPEN
(2,11) M=8: open:OPEN  r2:KILLED  r3:OPEN
(2,11) M=9: open:OPEN  r2:OPEN
(3,11) M=5: open:KILLED  r2:KILLED  r3:KILLED
(3,11) M=6: open:OPEN  r2:KILLED  r3:OPEN
(3,11) M=7: open:OPEN  r2:KILLED  r3:SURVIVES
(3,11) M=8: open:OPEN  r2:KILLED  r3:OPEN
(3,11) M=9: open:OPEN  r2:KILLED
(4,11) M=4: open:KILLED  r2:KILLED  r3:KILLED
(4,11) M=5: open:OPEN  r2:KILLED  r3:KILLED
(4,11) M=6: open:OPEN  r2:KILLED  r3:OPEN
(4,11) M=7: open:OPEN  r2:KILLED  r3:OPEN
(4,11) M=8: open:OPEN  r2:KILLED  r3:OPEN
(4,11) M=9: open:SURVIVES  r2:KILLED
(5,11) M=4: open:KILLED  r2:KILLED  r3:KILLED
(5,11) M=5: open:SURVIVES  r2:KILLED  r3:KILLED
(5,11) M=6: open:SURVIVES  r2:KILLED  r3:OPEN
(5,11) M=7: open:OPEN  r2:KILLED  r3:KILLED
(5,11) M=8: open:OPEN  r2:KILLED  r3:KILLED
(5,11) M=9: open:OPEN  r2:KILLED
(6,11) M=3: open:KILLED  r2:KILLED  r3:KILLED
(6,11) M=4: open:SURVIVES  r2:KILLED  r3:OPEN
(6,11) M=5: open:SURVIVES  r2:KILLED  r3:OPEN
(6,11) M=6: open:SURVIVES  r2:KILLED  r3:OPEN
(6,11) M=7: open:SURVIVES  r2:KILLED  r3:OPEN
(6,11) M=8: open:SURVIVES  r2:KILLED  r3:OPEN
(6,11) M=9: open:SURVIVES  r2:KILLED
(7,11) M=3: open:KILLED  r2:KILLED  r3:KILLED
(7,11) M=4: open:SURVIVES  r2:KILLED  r3:OPEN
(7,11) M=5: open:SURVIVES  r2:KILLED  r3:OPEN
(7,11) M=6: open:SURVIVES  r2:KILLED  r3:OPEN
(7,11) M=7: open:SURVIVES  r2:KILLED  r3:OPEN
(7,11) M=8: open:SURVIVES  r2:KILLED  r3:OPEN
(7,11) M=9: open:SURVIVES  r2:KILLED
(8,11) M=3: open:SURVIVES  r2:KILLED  r3:OPEN
(8,11) M=4: open:SURVIVES  r2:KILLED  r3:OPEN
(8,11) M=5: open:OPEN  r2:KILLED  r3:OPEN
(8,11) M=6: open:OPEN  r2:KILLED  r3:OPEN
(8,11) M=7: open:OPEN  r2:KILLED  r3:OPEN
(8,11) M=8: open:OPEN  r2:KILLED  r3:OPEN
(8,11) M=9: open:OPEN  r2:KILLED
(9,11) M=3: open:SURVIVES  r2:KILLED  r3:OPEN
(9,11) M=4: open:SURVIVES  r2:KILLED  r3:OPEN
(9,11) M=5: open:SURVIVES  r2:KILLED  r3:OPEN
(9,11) M=6: open:SURVIVES  r2:KILLED  r3:OPEN
(9,11) M=7: open:SURVIVES  r2:KILLED  r3:OPEN
(9,11) M=8: open:SURVIVES  r2:KILLED  r3:OPEN
(9,11) M=9: open:SURVIVES  r2:KILLED
(10,11) M=3: open:SURVIVES  r2:KILLED  r3:OPEN
(10,11) M=4: open:SURVIVES  r2:KILLED  r3:OPEN
(10,11) M=5: open:SURVIVES  r2:KILLED  r3:OPEN
(10,11) M=6: open:SURVIVES  r2:KILLED  r3:OPEN
(10,11) M=7: open:SURVIVES  r2:KILLED  r3:OPEN
(10,11) M=8: open:SURVIVES  r2:KILLED  r3:OPEN
(10,11) M=9: open:SURVIVES  r2:KILLED
(5,12) M=4: open:KILLED  r2:KILLED  r3:KILLED
(5,12) M=5: open:OPEN  r2:KILLED  r3:KILLED
(5,12) M=6: open:SURVIVES  r2:KILLED  r3:KILLED
(5,12) M=7: open:SURVIVES  r2:KILLED  r3:OPEN
(5,12) M=8: open:SURVIVES  r2:KILLED  r3:OPEN
(5,12) M=9: open:SURVIVES  r2:KILLED  r3:OPEN
(5,12) M=10: open:SURVIVES  r2:KILLED
(7,12) M=3: open:KILLED  r2:KILLED  r3:KILLED
(7,12) M=4: open:SURVIVES  r2:KILLED  r3:OPEN
(7,12) M=5: open:SURVIVES  r2:KILLED  r3:OPEN
(7,12) M=6: open:SURVIVES  r2:KILLED  r3:OPEN
(7,12) M=7: open:SURVIVES  r2:KILLED  r3:OPEN
(7,12) M=8: open:SURVIVES  r2:KILLED  r3:OPEN
(7,12) M=9: open:SURVIVES  r2:KILLED  r3:OPEN
(7,12) M=10: open:SURVIVES  r2:KILLED
(11,12) M=3: open:SURVIVES  r2:KILLED  r3:OPEN
(11,12) M=4: open:SURVIVES  r2:KILLED  r3:OPEN
(11,12) M=5: open:SURVIVES  r2:KILLED  r3:OPEN
(11,12) M=6: open:SURVIVES  r2:KILLED  r3:OPEN
(11,12) M=7: open:SURVIVES  r2:KILLED  r3:OPEN
(11,12) M=8: open:SURVIVES  r2:KILLED  r3:OPEN
(11,12) M=9: open:SURVIVES  r2:KILLED  r3:OPEN
(11,12) M=10: open:SURVIVES  r2:KILLED

== transverse corner block, fixed engine, TR_DEEP=1 ==
(The COMPLETE transverse block dies uniformly by theorem --
lean/TransverseChain.lean; the engine rows below are the
straddling-branch layer, re-certified with the fixed engine.
The pre-fix kills at (7,8) and (8,9) do NOT reproduce and are
RETRACTED: both run OPEN at large caps.)
(2,3) transverse: KILLED  [nodes=10 0.0s]  ('angle-nofill', (Fraction(12, 1), Fraction(3, 2)))×2; ('angle-nofill', (Fraction(35, 3), Fraction(5, 3)))×1
(3,4) transverse: KILLED  [nodes=38 0.4s]  ('angle-nofill', (Fraction(22, 1), Fraction(2, 1)))×2; ('angle-nofill', (Fraction(167, 8), Fraction(19, 8)))×1
(2,5) transverse: KILLED  [nodes=111 1.0s]  ('angle-unfillable', (Fraction(110, 1), Fraction(5, 2)))×4; ('angle-nofill', (Fraction(110, 1), Fraction(5, 2)))×4
(3,5) transverse: KILLED  [nodes=232 3.4s]  ('angle-unfillable', (Fraction(175, 2), Fraction(5, 2)))×10; ('angle-nofill', (Fraction(80, 1), Fraction(0, 1)))×10
(4,5) transverse: KILLED  [nodes=147 2.6s]  ('angle-unfillable', (Fraction(36, 1), Fraction(0, 1)))×4; ('angle-nofill', (Fraction(20, 1), Fraction(0, 1)))×3
(5,6) transverse: KILLED  [nodes=795 23.2s]  ('angle-nofill', (Fraction(341, 6), Fraction(11, 6)))×28; ('angle-nofill', (Fraction(66, 1), Fraction(0, 1)))×26
(2,7) transverse: KILLED  [nodes=1541 23.8s]  ('angle-unfillable', (Fraction(2143, 7), Fraction(31, 7)))×86; ('angle-unfillable', (Fraction(2129, 7), Fraction(38, 7)))×68
(3,7) transverse: OPEN  [nodes=8791 240.0s]
(4,7) transverse: SURVIVES  [nodes=935 29.9s]
(5,7) transverse: SURVIVES  [nodes=1275 37.0s]
(6,7) transverse: KILLED  [nodes=2884 158.8s]  ('angle-nofill', (Fraction(598, 7), Fraction(13, 14)))×167; ('angle-nofill', (Fraction(559, 7), Fraction(13, 7)))×48
(7,8) transverse: OPEN  [nodes=19278 600.0s]
(8,9) transverse: OPEN  [nodes=15221 900.0s]

== the exact residual, f <= 12 ==
(5,7): residual (M,k) pairs [1]: (3,7)*
(6,7): residual (M,k) pairs [1]: (3,7)*
(5,8): residual (M,k) pairs [1]: (4,8)*
(7,8): residual (M,k) pairs [3]: (3,7) (3,8)* (4,8)*
(4,9): residual (M,k) pairs [1]: (5,9)*
(5,9): residual (M,k) pairs [3]: (4,8) (4,9)* (5,9)*
(7,9): residual (M,k) pairs [6]: (3,7) (3,8) (3,9)* (4,8) (4,9)* (5,9)*
(8,9): residual (M,k) pairs [6]: (3,7) (3,8) (3,9)* (4,8) (4,9)* (5,9)*
(3,10): residual (M,k) pairs [3]: (6,9) (6,10)* (7,10)*
(7,10): residual (M,k) pairs [10]: (3,7) (3,8) (3,9) (3,10)* (4,8) (4,9) (4,10)* (5,9) (5,10)* (6,10)*
(9,10): residual (M,k) pairs [10]: (3,7) (3,8) (3,9) (3,10)* (4,8) (4,9) (4,10)* (5,9) (5,10)* (6,10)*
(2,11): residual (M,k) pairs [4]: (7,10) (7,11)* (8,11)* (9,11)*
(3,11): residual (M,k) pairs [6]: (6,9) (6,10) (6,11)* (7,10) (7,11)* (8,11)*
(4,11): residual (M,k) pairs [6]: (5,9) (5,10) (5,11)* (6,10) (6,11)* (7,11)*
(5,11): residual (M,k) pairs [6]: (5,9) (5,10) (5,11)* (6,10) (6,11)* (7,11)*
(6,11): residual (M,k) pairs [10]: (4,8) (4,9) (4,10) (4,11)* (5,9) (5,10) (5,11)* (6,10) (6,11)* (7,11)*
(7,11): residual (M,k) pairs [10]: (4,8) (4,9) (4,10) (4,11)* (5,9) (5,10) (5,11)* (6,10) (6,11)* (7,11)*
(8,11): residual (M,k) pairs [15]: (3,7) (3,8) (3,9) (3,10) (3,11)* (4,8) (4,9) (4,10) (4,11)* (5,9) (5,10) (5,11)* (6,10) (6,11)* (7,11)*
(9,11): residual (M,k) pairs [15]: (3,7) (3,8) (3,9) (3,10) (3,11)* (4,8) (4,9) (4,10) (4,11)* (5,9) (5,10) (5,11)* (6,10) (6,11)* (7,11)*
(10,11): residual (M,k) pairs [15]: (3,7) (3,8) (3,9) (3,10) (3,11)* (4,8) (4,9) (4,10) (4,11)* (5,9) (5,10) (5,11)* (6,10) (6,11)* (7,11)*
(5,12): residual (M,k) pairs [10]: (5,9) (5,10) (5,11) (5,12)* (6,10) (6,11) (6,12)* (7,11) (7,12)* (8,12)*
(7,12): residual (M,k) pairs [15]: (4,8) (4,9) (4,10) (4,11) (4,12)* (5,9) (5,10) (5,11) (5,12)* (6,10) (6,11) (6,12)* (7,11) (7,12)* (8,12)*
(11,12): residual (M,k) pairs [21]: (3,7) (3,8) (3,9) (3,10) (3,11) (3,12)* (4,8) (4,9) (4,10) (4,11) (4,12)* (5,9) (5,10) (5,11) (5,12)* (6,10) (6,11) (6,12)* (7,11) (7,12)* (8,12)*

closed members (empty residual): [(2, 3), (3, 4), (2, 5), (3, 5), (4, 5), (5, 6), (2, 7), (3, 7), (4, 7), (3, 8), (2, 9)]
total open (M,k) pairs, f <= 12: 178
(* = wall scale k = f: every kill there, and hence the pair's
 openness, sits under the b^f base reading -- Inflation.b_side_rigid
 is sharp at k = f: RogueMirror.base_side_wall_family.)

== provenance ==
Engine: code/swap_patch_search.py at the flat-fix commit; driver
code/rerun_patch_campaign.py; f = 10..12 sweep and transverse by
direct invocation.  The theorem layer is lean/RogueMirror.lean
(axiom-clean) with the exact closure layer of
code/zfan_corridor.py; the residual tabulation is
code/zfan_residual.py against this file's free section.  The
(5,9) M=3 r6 cell was backfilled by a direct run after an rN-mode
argparse gap (KILLED, 14 nodes).  Kills at the wall scale k = f
are conditional on the b^f reading of the target's base word
(Inflation.b_side_rigid is sharp there:
RogueMirror.base_side_wall_family).
